name,marke,kategorie,zutaten,energieKj,energieKcal,fett,gesaettigteFettsaueren,kohlenhydrate,zucker,eiweiss,salz,ean,preis,quelleUrl,bildUrl
Thomy Les Sauces Curry Sauce 250ML,"Nestlé Deutschland AG, Baseler Straße 46, 60329 Frankfurt am Main, www.nestle.de",Soßen,"Wasser, SCHLAGSAHNE, Sonnenblumenöl, 3,5% Ananaspüree, Stärke, 2,7% EIGELB, Curry (Kurkuma, SENFKÖRNER, Bockshornklee, Koriander, Kreuzkümmel, WEIZENMEHL, Salz, Chili, Fenchel, Zwiebeln), 1% Bananenpüree, Apfelpulver, Gewürze (Zwiebeln, Ingwer, Kurkuma, Zimt, Koriander, Kreuzkümmel, Chili, Paprika), Tomatenmark, Jodsalz (Salz, Kaliumjodat), Zucker.",623,150,13,3,"7,1","3,5","0,9","0,98",0,1.79,https://www.edeka24.de/Lebensmittel/Sossen/Thomy-Les-Sauces-Curry-Sauce-250ML.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/thomy_les_sauces_curry_sauce_250ml.jpg
"Moselland Riesling Spätlese Fruchtig & Süss 0,75L","Moselland eG Winzergenossenschaft, Bornwiese 6, 54470 Bernkastel-Kues, www.moselland.de",Deutschland,Enthält Sulfite.,,,,,,,,,0,7.99,https://www.edeka24.de/Wein-Spirituosen/Weisswein/Deutschland/Moselland-Riesling-Spaetlese-Fruchtig-Suess-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/moselland_riesling_steillage_spamp228tlese_075l.jpg
Alnatura Bio Apfelmark 700G,"Alnatura Produktions- und Handels GmbH, Mahatma-Gandhi-Straße 7, 64295 Darmstadt, www.alnatura.de",Konserven,Äpfel* *aus biologischer Landwirtschaft,245,58,"0,5","0,1",12,12,"0,5","0,01",0,1.89,https://www.edeka24.de/Lebensmittel/Konserven/Alnatura-Bio-Apfelmark-700G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/alnatura_bio_apfelmark_700g.jpg
Alnatura Bio Baked Beans 360G,"Alnatura Produktions- und Handels GmbH, Mahatma-Gandhi-Straße 7, 64295 Darmstadt, www.alnatura.de",Gemüsekonserven,"Weiße Bohnen* 60%, Tomatensauce* 36% (Wasser und Tomatenmark*zweifach konzentriert 5%), Rohrohrzucker*, Meersalz, Essig*,Maisstärke**aus biologischer Landwirtschaft.",393,93,"0,5","0,1",14,"4,1","5,6","1,1",0,1.89,https://www.edeka24.de/Lebensmittel/Konserven/Gemuesekonserven/Alnatura-Bio-Baked-Beans-360G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/alnatura_bio_baked_beans_360g.jpg
Du darfst Daily Delight Rinderroulade 480G,"Wingert Foods GmbH, Postfach 249 27452 Cuxhaven",Gerichte zum Erhitzen,"Nudelzubereitung, gegart (30%) (Wasser, Hartweizengrieß, Hühnerei, Rapsöl, Verdickungsmittel Guarkernmehl, Emulgator Lecithine, Speisesalz, Antioxidationsmittel (Ascorbinsäure, Natriumascorbat)), Apfelrotkohlzubereitung (20%) (Rotkohl (15%), Wasser, Äpfel (1%), Zucker, Apfelsaftkonzentrat, Stärke, Rapsöl, Speisesalz, Verdickungsmittel Guarkernmehl, Antioxidationsmittel Ascorbinsäure, Gewürze, Branntweinessig, Johannisbeersaftkonzentrat, Säuerungsmittel Citronensäure), Wasser, Rinderroulade (19%) (Rindfleisch (10,6%), Füllung (8,4%) (Schweinefleisch (2,1%), Gewürzgurken (Gurken, Wasser, Branntweinessig, Speisesalz), Zwiebeln, Paniermehl (Weizenmehl, Wasser, Speisesalz, Hefe), Senf (Wasser, Senfsaaten, Speisesalz, Zucker, Branntweinessig, Gewürze), Wasser, Gewürze, Speisesalz, Kartoffelstärke)), Zwiebeln, Senf (Wasser, Senfsaaten, Branntweinessig, Speisesalz, Gewürze), Tomatenmark, Gurken, Stärke, Zucker, Gewürze, Branntweinessig, Rapsöl, Verdickungsmittel Guarkernmehl, karamellisierter Zucker, Sahne, Sambal Oelek (Chili, Paprika, Wasser, Speisesalz), Speisesalz, Sellerieknollenpulver. Das Produkt kann Spuren von SOJA, ERDNÜSSEN, SCHALENFRÜCHTEN und FISCH enthalten.",438,104,"3,3",1,12,"3,9","5,4","0,65",0,3.79,https://www.edeka24.de/Lebensmittel/Fertiggerichte/Gerichte-zum-Erhitzen/Du-darfst-Daily-Delight-Rinderroulade-480G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/du_darfst_daily_delight_rinderroulade_480g.jpg
Ti Bio Pfefferminze & Brombeere 1L,"Teeküche GmbH, Brunnenstraße 1, 61184 Karben",Bio Marken,"Pfefferminztee-Aufguss (Wasser, Pfefferminzblätter*), Zucker, Brombeersaft** (2,3 %), Holunderbeersaft**, Säuerungsmittel Citronensäure, natürliches Aroma. *aus kontrolliert biologischem Anbau **aus Fruchtsaftkonzentrat",65,15,0,0,"3,8","3,5",0,"0,03",0,1.89,https://www.edeka24.de/Bio-Produkte/Bio-Marken/Ti-Bio-Pfefferminze-Brombeere-1L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/ti_pfefferminzeampampbrombeere_1l_dpg.jpg
"Durbacher Dursecco Rosé trocken 0,75L","Durbacher Winzer eG, Nachtweide 2, 77770 Durbach, www.durbacher.de",Sekt-Prosecco,Enthält Sulfite.,,,,,,,,,0,6.79,https://www.edeka24.de/Wein-Spirituosen/Sekt-Prosecco/Durbacher-Dursecco-Ros-trocken-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/durbacherdursecco.jpg
"WG Bötzingen Spätburgunder Rotwein Kabinett 0,75L","Winzergenossenschaft Bötzingen a.K.eG, Hauptstr.13, 79268 Bötzingen, www.der-boetzinger.de",Rotwein,Enthält Sulfite.,,,,,,,,,0,5.79,https://www.edeka24.de/Wein-Spirituosen/Rotwein/WG-Boetzingen-Spaetburgunder-Rotwein-Kabinett-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/wg_btzingen_sptburgunder_rotwein_kabinett_075l.jpg
Erasco 2 Kohlrouladen 800G,"GB Foods Deutschland GmbH, Geniner Straße 88-100, 23560 Lübeck, www.thegbfoods.com",Gerichte zum Erhitzen,"Wasser, 45% angeschmorte Kohlrouladen (51% Weißkohl, 38% Schweinefleisch,  Zwiebeln, Salz, Gewürze, Paniermehl (WEIZENMEHL (GLUTEN), Roggenmehl (GLUTEN), Wasser, Salz, Hefe, Schweinefett)), Tomatenkonzentrat, modifizierte Stärke, Salz, Kochsalzersatz (Kaliumchlorid), WEIZENEMEL (GLUTE), Zucker, Gewürze, Aromen, Hefeextrakt. Kann Spuren von SELLERIE,  SOJA, MILCH, EI, SENF und SESAM  enthalten.",297,71,4,"1,3",4,"1,8","4,2","0,9",0,4.49,https://www.edeka24.de/Lebensmittel/Fertiggerichte/Gerichte-zum-Erhitzen/Erasco-2-Kohlrouladen-800G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/erasco_2_kohlrouladen_800g(1).jpg
"Oberbergener Baßgeige Weißer Burgunder Kabinett 0,75L","Winzergenossenschaft Oberbergen eG, Badbergstr. 2, 79235 Vogtsburg-Oberbergen, www.bassgeige-wein.de",Weißwein,Enthält Sulfite.,,,,,,,,,0,6.49,https://www.edeka24.de/Wein-Spirituosen/Weisswein/Oberbergener-Bassgeige-Weisser-Burgunder-Kabinett-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/oberbergener-weissburgunder-kabinett_neu.jpg
Red Bull Energy Drink Purple Edition Acai 250ml,"Red Bull GmbH, 5330 Fuschl am See, Österreich",Getränke,"Wasser, Saccharose, Säuerungsmittel (Citronensäure), Kohlensäure, Taurin (0,4%), Säureregulatoren (Natriumcarbonate, Magnesiumcarbonate), Koffein (0,03%), Vitamine (Niacin, Pantothensäure, B6, B12), Aromen, Farbstoffe (Anthocyane, Riboflavine).",188,44,0,0,10,10,0,"0,1",0,1.49,https://www.edeka24.de/Lebensmittel/Getraenke/Red-Bull-Energy-Drink-Purple-Edition-Acai-250ml.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/purple.png
"WG Bötzingen Spätburgunder Rotwein Kabinett trocken 0,75L","Winzergenossenschaft Bötzingen a.K.eG, Hauptstr.13, 79268 Bötzingen, www.der-boetzinger.de",Rotwein,Enthält Sulfite.,,,,,,,,,0,5.79,https://www.edeka24.de/Wein-Spirituosen/Rotwein/WG-Boetzingen-Spaetburgunder-Rotwein-Kabinett-trocken-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/wg_btzingen_sptburgunder_rotwein_kabinett_trocken_2018_075_ltr.jpg
"Lillet Aperitif Rosé 0,75L","Pernod Ricard Deutschland, Habsburgerring 2   50674 Köln",Liköre & Bitter,Enthält Sulfite. Mit Antioxidationsmittel.,,,,,,,,,0,16.99,https://www.edeka24.de/Wein-Spirituosen/Spirituosen/Likoere-Bitter/Lillet-Aperitif-Ros-0-75L-oxid.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/lillet_rose_075l.jpg
Fuchs Pfeffer schwarz geschrotet 60G,"Fuchs Gruppe Shop GmbH & Co.KG, Dieter-Fuchs-Straße 10, 49201 Dissen a.T.W., www.fuchsgruppe.shop",Gewürze-Kräuter,Pfeffer.,,,,,,,,,0,5.49,https://www.edeka24.de/Lebensmittel/Wuerzmittel-Bruehen/Gewuerze-Kraeuter/Fuchs-Pfeffer-schwarz-geschrotet-60G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/fuchspfeschwagesch.jpg
Alnatura Bio Apfelringe getrocknet 125G,"Alnatura Produktions- und Handels GmbH, Mahatma-Gandhi-Straße 7, 64295 Darmstadt, www.alnatura.de",Alnatura-Produkte,Apfel* *aus biologischer Landwirtschaft.,1180,279,"0,5","0,1",64,57,"1,2","0,24",0,3.59,https://www.edeka24.de/Lebensmittel/Suess-und-Salzig/Getrocknete-Fruechte/Alnatura-Bio-Apfelringe-getrocknet-125G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/alnatura_bio_apfel_ringe.jpg
Slendier Bio Rice Style 400G,"Konjac Europe Pty Ltd, Louis Braillelaan 80, Zoetermeer, 2719 EK",Hülsenfrüchte,"Wasser, 5% Bio-Konjakwurzelmehl.",35,8,0,0,0,0,0,0,0,3.29,https://www.edeka24.de/Lebensmittel/Beilagen/Huelsenfruechte/Slendier-Bio-Rice-Style-400G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/slendier_bio_rice_style_vegan_400_g.jpg
"Botucal Reserva Exclusiva 40% 0,7L","Brown-Forman Deutschland GmbH, Dammtorwall 7, 20354 Hamburg, www.brown-forman.com",Zu den Favoriten hinzufügen,Mit Farbstoff(en).,,,,,,,,,0,41.99,https://www.edeka24.de/Wein-Spirituosen/Spirituosen/Rum/Botucal-Reserva-Exclusiva-40-0-7L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/botucal_rum_reserva_exclusiva.jpg
Bio Gourmet Roter Linsen-Topf 250G,"Bio Gourmet GmbH, Ochsenweg 1, 71729 Erdmannshausen, www.bio-gourmet.com",Gerichte zum Anrühren,"Rote Linsen* 88 %, Kartoffeln* getrocknet, Lauch* getrocknet, Apfelstückchen* getrocknet, Steinsalz, Knoblauch*, Liebstöckel*. *aus kontrolliert biologischem Anbau",1475,349,"1,5","0,2",53,"4,2",25,"2,3",0,3.99,https://www.edeka24.de/Lebensmittel/Fertiggerichte/Gerichte-zum-Anruehren/Bio-Gourmet-Roter-Linsen-Topf-250G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/bgrolito.jpg
"Berentzen Maracuja 0,7L","BERENTZEN-Gruppe AG, Ritterstraße 7, 49740 Haselünne, www.berentzen-gruppe.de",Liköre & Bitter,Mit Farbstoff.,,,,,,,,,0,7.99,https://www.edeka24.de/Wein-Spirituosen/Spirituosen/Likoere-Bitter/Berentzen-Maracuja-0-7L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/berentzen_maracuja_07_ltr.jpg
Ritter Sport Alpenmilch 250G,"Alfred Ritter GmbH & Co. KG, Alfred-Ritter-Str. 25, 71111 Waldenbuch, www.ritter-sport.com",Tafelschokolade,"Zucker, VOLLMILCHPULVER (20 %), Kakaobutter¹, Kakaomasse¹, HASELNUSSMASSE, Emulgator: Lecithine (SOJA). Kann Spuren von ERDNÜSSEN, anderen SCHALENFRÜCHTEN, GLUTENHALTIGEM GETREIDE und EI enthalten. ¹Rainforest Alliance Certified.",2282,547,32,20,54,53,"8,2","0,18",0,4.59,https://www.edeka24.de/Lebensmittel/Suess-Salzig/Tafelschokolade/Ritter-Sport-Alpenmilch-250G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/alpenmilch.jpg
"Doppio Passo Moscato Sicilia DOC 0,75L","Eggers & Franke GmbH, 28217 Bremen",Weißwein,Enthält Sulfite.,,,,,,,,,0,8.49,https://www.edeka24.de/Wein-Spirituosen/Weisswein/Doppio-Passo-Moscato-Sicilia-DOC-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/doppio_passo_moscato_sicilia_doc_075l.jpg
"Chateau Morillon Bio Bordeaux trocken 0,75L","Schenk GmbH, Alemannenstraße 32, 76532 Baden-Baden, www.schenk-weine.de",Rotwein,Enthält Sulfite.,,,,,,,,,0,10.49,https://www.edeka24.de/Wein-Spirituosen/Rotwein/Chateau-Morillon-Bio-Bordeaux-trocken-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/bio_chatmorillon_bord075l.jpg
La Piuma Montepulciano D'Abruzzo d.o.c. 3L,"MGM MONDO DEL VINO SRL, FORLI' - ITALIA",Italien,Enthält Sulfite.,,,,,,,,,0,14.49,https://www.edeka24.de/Wein-Spirituosen/Rotwein/Italien/La-Piuma-Montepulciano-D-Abruzzo-d-o-c-3L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/lapiuma.jpg
Bonduelle Grüne Bohnen dampfgegart 590G,"BDG GmbH, Am Heilbrunnen 136/138, 72766 Reutlingen, www.bonduelle.de",Konserven,"Grüne Bohnen, Wasser, Salz, Zitronensaftkonzentrat, Antioxidationsmittel Ascorbinsäure.",133,32,"0,3",0,"3,3",1,"1,7","0,92",0,2.69,https://www.edeka24.de/Lebensmittel/Konserven/Bonduelle-Gruene-Bohnen-dampfgegart-590G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/bondugrbohdam.jpg
Kellogg's Corn Flakes 500G,"Kellogg Europe Trading Limited, Three, Dublin Airport Central, Dublin Airport, Dublin, Ireland, K67 Y7E5",Frühstück & Snacks,"Mais, GERSTENMALZ, Zucker, Salz. Kann enthalten: GLUTEN anderer Getreidesorten",1604,378,"0,9","0,2",84,8,7,"1,1",0,4.79,https://www.edeka24.de/Lebensmittel/Fruehstueck-Snacks/Kellogg-s-Corn-Flakes-500G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/kellogg039s_corn_flakes_500g.jpg
Milka Luflee Alpenmilch 90G,"Mondelez Deutschland GmbH, D-28078 Bremen.",Tafelschokolade,"Zucker, Kakaobutter, Kakaomasse, MAGERMILCHPULVER, Süssmolkenpulver (aus MILCH), BUTTERREINFETT, HASELNUSSMASSE, Emulgatoren (SOJALECITHINE, E476), Aromen. Kann enthalten: andere NÜSSE und WEIZEN.",2261,542,32,19,56,54,"6,5","0,27",0,2.19,https://www.edeka24.de/Lebensmittel/Suess-Salzig/Tafelschokolade/Milka-Luflee-Alpenmilch-90G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/milka_luflee_alpenmilch_90g.jpg
"Lamberti Merlot Garda DOC 0,75L","Lamberti S.P.A., In Pastrengo, Italien",Rotwein,Enthält Sulfite.,,,,,,,,,0,5.99,https://www.edeka24.de/Wein-Spirituosen/Rotwein/Lamberti-Merlot-Garda-DOC-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/lamberti_merlot_garda_doc_trocken_075l.jpg
EDEKA Herzstücke Lasagne 500G,"EDEKA Zentrale Stiftung & Co. KG, 22291 Hamburg",Nudeln,HARTWEIZENGRIEẞ. Das Produkt kann Spuren von SOJA und SENF enthalten.,1584,374,"1,5","0,3",75,3,"13,5","0,01",0,2.19,https://www.edeka24.de/Lebensmittel/Beilagen/Nudeln/EDEKA-Herzstuecke-Lasagne-500G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/herzstuecke_lasagne_500g.jpg
Ruf Bio Agartine 30G,"Ruf Lebensmittelwerk KG, Oldenburger Str. 1, 49610 Quakenbrück, www.ruf.eu",Backen & Desserts,"Maltodextrin*, Geliermittel (Agar-Agar* E 406 [20 %], Guarkernmehl* E412). Kann produktionsbedingt Spuren von EI, MILCH, SOJA und SCHALENFRÜCHTEN enthalten. *aus kontrolliert biologischem Anbau.",1425,337,"0,5","0,1",75,"6,4","0,5","0,33",0,1.89,https://www.edeka24.de/Lebensmittel/Backen-Desserts/Ruf-Bio-Agartine-30G-oxid.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/bio_ruf_agartine_30g.jpg
"Monster Energydrink Ultra Paradise Zero Zucker 0,5L","Monster Energy Limited, South Bank House, Barrow Street, Dublin 4, Ireland, www.monsterenergy.com",Getränke,"Wasser, Säuerungsmittel (Citronensäure), Kohlensäure, Taurin (0,4%), Säureregulator (Natriumcitrate), Panax Ginseng Wurzelextrakt (0,08%), Aromen, Konservierungsstoffe (Kaliumsorbat, Natriumbenzoat), Süßungsmittel (Acesulfam K, Sucralose), Maltodextrin, Koffein (0,03 %), Vitaminmischung (Nicotinamid, Pantothensäure, Vitamin B6, Vitamin B12), L-Carnitin-L-Tartrat (0,015%), Salz, Saflor Extrakt, Pflanzliche Öle (Kokosnuss, Rapssamen), Modifizierte Stärke, Inosit, Farbstoffe (E133)",12,3,0,0,"0,9",0,0,"0,16",0,1.59,https://www.edeka24.de/Lebensmittel/Getraenke/Monster-Energydrink-Ultra-Paradise-Zero-Zucker-0-5L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/monsterultra_paradise_05l_dpg.jpg
Alnatura Bio Waldbeere Hafer Crunchy 375G,"Alnatura GmbH, Mahatma-Gandhi-Straße 7, DE-64295 Darmstadt",Müsli-Cerealien von Alnatura,"HAFERVOLLKORNFLOCKEN* 72 %, Sonnenblumenöl*, Rohrohrzucker*, Maissirup*, Reisextrudat* (Reismehl*, GERSTENMALZMEHL*, Meersalz), Wald-/Erdbeermischung* gefriergetrocknet 2,5 % (Himbeere*, Heidelbeere*, Erdbeere*, Brombeere*), Meersalz.Kann Spuren von ERDNUSS, MILCH, MANDEL, NÜSSEN und SESAM enthalten. *aus biologischer Landwirtschaft",1965,469,18,"1,9",63,17,"9,7","0,16",0,3.79,https://www.edeka24.de/Bio-Produkte/Fruehstuecksartikel-von-Alnatura/Muesli-Cerealien-von-Alnatura/Alnatura-Bio-Waldbeere-Hafer-Crunchy-375G-oxid.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/alnatura_bio_waldbeere_hafer_crunchy_375g(1).jpg
Alnatura Bio Pudding Bourbon-Vanille 3ST 120G,"Alnatura Produktions- und Handels GmbH, Mahatma-Gandhi-Straße 7, 64295 Darmstadt, www.alnatura.de",Pudding-Dessert,"Maisstärke*, Bourbon-Vanilleschote* gemahlen 1,5%. *aus biologischer Landwirtschaft. Kann Spuren von Sesam enthalten.",453,108,"3,1","1,9",17,11,"2,9","0,1",0,3.29,https://www.edeka24.de/Lebensmittel/Backen-Desserts/Pudding-Dessert/Alnatura-Bio-Pudding-Bourbon-Vanille-3ST-120G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/alnatura_bio_pudding_bourbonvanille_3st_120g.jpg
Weetabix Protein 440G,"Genuport Trade GmbH, D-22848 Norderstedt",Frühstück & Snacks,"Vollkorn-WEIZEN (86%), WEIZENGLUTEN, Zucker, GERSTENMALZEXTRAKT, Reismehl, WEIZENSTÄRKE, WEIZENKEIME, Kakaopulver, Salz, Niacin, Eisensulfat, Riboflavin (B2), Thiamin (B1), Folsäure, Vitamin D.",1524,360,"1,9","0,4",62,"4,8",19,"0,23",0,4.99,https://www.edeka24.de/Lebensmittel/Fruehstueck-Snacks/Weetabix-Protein-440G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/3677-wtb-protein-original-440g.jpg
Little Lunch Bio Chili Sin Carne 350ML,"littlelunch GmbH, Am alten Schlachthof 1, 86153 Augsburg",Suppen-Eintöpfe,"74% Gemüse* (Tomaten*, Kidneybohnen*, Gemüsepaprika*, Zwiebeln*, Mais*, Karotten*, Tomatenpüree*, SELLERIE*), Wasser, 4% Kartoffeln*, 3% SOJAEIWEISSERZEUGNIS*, Olivenöl*, Gewürze* (Knoblauch*, Chili*, Koriandersamen*, Kreuzkümmel*, Paprika*, Zimt*), Apfelsaftkonzentrat*, Meersalz, Kräuter* (Petersilie*, Lorbeer*, Liebstöckelblätter*), geräuchertes Meersalz, Zitronensaftkonzentrat*. *Zutaten aus kontrolliert biologischer Erzeugung.",324,77,"2,1","0,4","8,2","4,3","4,3","1,1",0,3.79,https://www.edeka24.de/Lebensmittel/Fertiggerichte/Suppen-Eintoepfe/Little-Lunch-Bio-Chili-Sin-Carne-350ML.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/little_lunch_bio_chili_sin_carne_350ml.jpg
Lacroix Bio Geflügel Fond 300ML,"GB Foods Deutschland GmbH, Geniner Straße 88-100, 23560 Lübeck, www.thegbfoods.com",Fonds-Soßenbinder,"Wasser, Hühnerbrühe*, Zwiebelsaftkonzentrat*, Karottensaftkonzentrat*, Salz, Rohrzucker*, natürliches Hähnchenaroma, Hefeextrakt*. *aus kontrolliert biologischem Anbau.",28,7,"0,1",0,"1,1","0,8","0,4","1,6",0,3.79,https://www.edeka24.de/Lebensmittel/Sossen/Fonds-Sossenbinder/Lacroix-Bio-Gefluegel-Fond-300ML.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/lacroix_bio_geflgel_fond_300_ml.jpg
Ben's Original Natur-Reis Kochbeutel 1KG,"Mars GmbH, Eitzer Straße 215, 27281 Verden, www.mars.com",Reis,Parboiled Vollkorn-Reis.,707,167,1,"0,2",35,"0,5","3,8","0,01",0,4.99,https://www.edeka24.de/Lebensmittel/Beilagen/Reis/Ben-s-Original-Natur-Reis-Kochbeutel-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/ben039s_naturreis_kochbeutel_1kg.jpg
Kölln Crunchy Peanut Choc Hafer-Müsli 400G,"Peter Kölln GmbH & Co.KGaA, Westerstraße 22-24, 25336 Elmshorn, www.peterkoelln.de",Frühstück & Snacks,"VOLLKORN-HAFERFLOCKEN (43 %), Zucker, geröstete ERDNUSSKERNE, Palmöl, WEIZENMEHL, VOLLKORN-WEIZENFLOCKEN (5 %), Glukose-Fruktose-Sirup, VOLLKORN-HAFERMEHL (4 %), Kakaomasse*, VOLLMILCHPULVER, Kakaobutter*, fettarmes Kakaopulver*, Karamellsirup, GERSTENMALZEXTRAKT, Maisstärke, Speisesalz, Emulgator Lecithine, natürliches Aroma. Kann SCHALENFRÜCHTE, SOJA und SESAM enthalten. *Rainforest Alliance-zertifiziert",1925,459,18,"5,8",63,20,"9,7","0,36",0,3.89,https://www.edeka24.de/Lebensmittel/Fruehstueck-Snacks/Koelln-Crunchy-Peanut-Choc-Hafer-Muesli-400G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/kamp246lln_crunchy_peanut_choc_hafermamp252sli_400g.jpg
Kühne Karottensalat 330G,"Carl Kühne KG (GmbH & Co.), Kühnehöfe 11, 22761 Hamburg, www.kuehne.de",Konserven,"Karotten, Branntweinessig, Glukose-Fruktose-Sirup, Zucker, Salz, Apfelsaft aus Apfelsaftkonzentrat, natürliches Karottenaroma, Antioxidationsmittel: Citronensäure, Ascorbinsäure.",222,53,"0,3","0,1",10,9,"0,7","0,7",0,2.19,https://www.edeka24.de/Lebensmittel/Konserven/Kuehne-Karottensalat-330G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/khne_karottensalat_330g.jpg
"Weinkellerei Hechtsheim Sovinello 2Go Secco Rosato 0,275L","Weinkellerei Hechtsheim GmbH, Rheinhessenstraße 25, 55129 Mainz, www.weinkellerei-hxm.com",Deutschland,Enthält Sulfite.,,,,,,,,,0,1.99,https://www.edeka24.de/Wein-Spirituosen/Sekt-Prosecco/Deutschland/Weinkellerei-Hechtsheim-Sovinello-2Go-Secco-Rosato-0-275L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/sovinello_secco_rosato_0275l.jpg
Bäuerliche EZG Schwäbisch Hall Demeter Bio-Lyoner 200G,"Bäuerliche Erzeugergemeinschaft Schwäbisch Hall AG, Haller Straße 20, 74549 Wolpertshausen, www.besh.de",Wurstkonserven,"Schweinefleisch** 74%, Schweinespeck**, Trinkwasser, Steinsalz, Gewürze*, Rübenzucker**. *aus kontrolliert ökologischem Anbau **Demeter",1175,284,"26,3","11,5","0,7","0,5","11,2","2,2",0,5.29,https://www.edeka24.de/Lebensmittel/Konserven/Wurstkonserven/Baeuerliche-EZG-Schwaebisch-Hall-Demeter-Bio-Lyoner-200G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/demeter_bamp228uerliche_lyoner_200g.jpg
Maggi Fix Rahm Champignons 36G,"Nestlé Deutschland AG, Baseler Straße 46, 60329 Frankfurt am Main, www.nestle.de",Soßen,"Stärke*, Sonnenblumenöl*, WEIZENMEHL*, MILCHZUCKER*, Jodsalz (Salz, Kaliumjodat), Gewürze* (Zwiebeln, Knoblauch, Kurkuma, Muskatnuss), Würze* (aus WEIZEN), geräucherter Speck* (Speck, Salz, Rauch), Salz*, SAHNEPULVER*, Petersilie*, Zitronensaft*, natürliches Zitronenaroma*, natürliches Pfefferaroma*, natürliches Zwiebelaroma mit anderen natürlichen Aromen*, natürliche Aromen*, MILCHEIWEISSERZEUGNIS*, Zucker*. Kann SELLERIE, EIER, SENF und SOJA enthalten. *natürliche Zutaten",256,59,"3,8","1,4","3,9","0,9","2,2","0,7",0,1.19,https://www.edeka24.de/Lebensmittel/Sossen/Maggi-Fix-Rahm-Champignons-36G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/maggi_fix_rahm_champignons_36g.jpg
EDEKA Herzstücke Luftgetrocknete Ringsalami Pur Pork 300G,"EDEKA Zentrale Stiftung & Co. KG, New-York-Ring 6, 22291 Hamburg, www.edeka.de",Wurst & Schinken,"Schweinefleisch, Speisesalz, LAKTOSE, Gewürze, Glukosesirup, Dextrose, Konservierungsstoff: Kaliumnitrat; Reifekulturen, Schweinedarm. 100g Salami werden aus 162g Schweinefleisch hergestellt. Das Produkt kann Spuren von MILCH und SCHALENFRÜCHTEN(HASELNUSS) enthalten. Gewichtsverlust durch Austrocknung. Hülle ist zum Verzehr geeignet.",1815,437,35,"14,5","3,2","2,4","27,4","4,9",0,5.49,https://www.edeka24.de/Lebensmittel/Fruehstueck-Snacks/Wurst-Schinken/EDEKA-Herzstuecke-Luftgetrocknete-Ringsalami-Pur-Pork-300G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/edeka_herzstcke_luftgetrocknete_ringsalami_pur_pork_300g.jpg
