name,marke,kategorie,zutaten,energieKj,energieKcal,fett,gesaettigteFettsaueren,kohlenhydrate,zucker,eiweiss,salz,ean,preis,quelleUrl,bildUrl
Maggi Magic Asia Saucy Noodles Pad Thai Style 128G,"Maggi GmbH, 78221 Singen (Hohentwiel)",Internationales,"70,3% frittierte Nudeln (WEIZENMEHL, Sonnenblumenöl, WEIZENGLUTEN, Salz, Säureregulator Kaliumcarbonat, Stabilisator Polyphosphate), Stärke, Gewürze (Zwiebelpulver, Knoblauchpulver, Ingwer, Chili), Zucker, SOJASAUCENPULVER (SOJABOHNEN, WEIZEN, Salz), 2,2% Zwiebeln, 1,8% Paprika, 1,3% Knoblauch, 0,7% Bambussprossen, Sonnenblumenöl, Aromen (mit EI, SENF, WEIZEN), Salz, Schnittlauch, Würze (aus WEIZEN), MILCHZUCKER, MILCHEIWEISS, Maltose, Säuerungsmittel Citronensäure. Kann enthalten: SELLERIE, SESAM.",543,129,"4,3","0,4","19,1","2,2","2,8",1,0,1.79,https://www.edeka24.de/Lebensmittel/Internationales/Maggi-Magic-Asia-Saucy-Noodles-Pad-Thai-Style-128G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/maggi_magic_asia_saucy_noodles_pad_thai_style_128g.jpg
So You So Me Subsauce Sweet Onion 300ML,"HOLA Manolo GmbH, Heinrich Haubner Str. 11, 5020 Salzburg, Österreich",Soßen,"Wasser, Zucker, Modena-Essig (enthält SULFITE), Glukose, Fruktose, modifizierte Stärke, Apfelsaftkonzentrat (enthält SULFITE), Zwiebelpulver 2%, Speisesalz, Mohnsamen, SENFPULVER, Säuerungsmittel (E 260), Aromen, Sonnenblumenöl, Konservierungsstoff (E 202), Stabilisator (E 415), Gewürze, Farbstoff (E 150d).",731,172,"0,5",0,41,37,"0,5","0,82",0,3.29,https://www.edeka24.de/Lebensmittel/Sossen/So-You-So-Me-Subsauce-Sweet-Onion-300ML.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/so_you_so_me_subsauce_sweet_onion_300ml.jpg
Lacroix Bio Gemüse Fond 300ML,"GB Foods Deutschland GmbH, Geniner Straße 88-100, 23560 Lübeck, www.thegbfoods.com",Fonds-Soßenbinder,"Wasser, Karottensaftkonzentrat*, Zwiebelsaftkonzentrat*, Salz, SELLERIESAFTKONZENTRAT*, natürliches Gemüse- und Pilzaroma, Hefeextrakt*. * aus kontrolliert biologischem Anbau.",29,7,0,0,"1,3","0,9","0,3","0,74",0,3.79,https://www.edeka24.de/Lebensmittel/Sossen/Fonds-Sossenbinder/Lacroix-Bio-Gemuese-Fond-300ML.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/lacroix_bio_gemse_fond_300_ml.jpg
Maggi Fix Rouladen 33G,"Nestlé Deutschland AG, Baseler Straße 46, 60329 Frankfurt am Main, www.nestle.de",Soßen,"WEIZENMEHL, Stärke, Jodsalz (Salz, Kaliumjodat), Hefeextrakt, Zucker, karamellisierter Zucker, 6 % geräucherter Speck (Speck, Salz, Rauch), Aromen (mit WEIZEN, GERSTE), Gewürze (Paprika, Knoblauch, Koriander, Pfeffer), Tomaten, Kräuter (Thymian, Lorbeer), Sonnenblumenöl. Kann SELLERIE, EIER, MILCH, SENF und SOJA enthalten.",403,96,"3,7","1,4","2,6","1,1","12,7","0,81",0,1.19,https://www.edeka24.de/Lebensmittel/Sossen/Maggi-Fix-Rouladen-33G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/maggi_fix_rouladen_33g.jpg
"Novantaceppi Appassimento Rosso Puglia 0,75L","Latentia Winery SPA, Laterza - Italia",Italien,Enthält Sulfite.,,,,,,,,,0,7.99,https://www.edeka24.de/Wein-Spirituosen/Rotwein/Italien/Novantaceppi-Appassimento-Rosso-Puglia-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/novantaceppirosso.jpg
Funny-Frisch Chipsfrisch ungarisch 150G,"Intersnack Deutschland SE, Erna-Scheffler-Str. 3, 51103 Köln, www.intersnack.de",Süß & Salzig,"Kartoffeln, pflanzliche Öle (Sonnenblume, Raps in veränderlichen Gewichtsanteilen), Speisesalz, Hefe, Paprikapulver, Zucker, Zwiebelpulver, Hefeextrakt, geräuchertes Paprikapulver, geräuchertes Speisesalz, Knoblauchpulver, Farbstoff (Paprikaextrakt), Aroma.",2221,533,33,"2,8",49,"2,5","6,1","1,5",0,2.29,https://www.edeka24.de/Lebensmittel/Suess-Salzig/Funny-Frisch-Chipsfrisch-ungarisch-150G-oxid.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/funnyfrisch_chipsfrisch_ungarisch_150g(1).jpg
Gut & Günstig Zitronat 100G,"EDEKA Zentrale Stiftung & Co. KG, New-York-Ring 6, 22291 Hamburg, www.edeka.de",Backen & Desserts,"57% Zedratfruchtschalen, Glukose-Fruktose-Sirup, Zucker, Speisesalz, Säuerungsmittel: Citronensäure. Das Produkt kann Spuren von SULFIT enthalten.",1332,314,0,0,76,70,0,"0,4",0,0.79,https://www.edeka24.de/Lebensmittel/Backen-Desserts/Gut-Guenstig-Zitronat-100G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/gutampgnstig_zitronat_100g.jpg
Knorr Salatkrönung Frühlingskräuter 5ST,"Unilever Deutschland GmbH, Neue Burg 1, 20457 Hamburg, www.unilever.de",Würzmittel & Brühen,"Zucker¹, 15% Kräuter ( 6,3% Petersilie¹², 5,5% Kerbel¹², Liebstöckel¹²), jodiertes Speisesalz, Zitrusfaser¹, Säureregulator Natriumdiacetat3, Säuerungsmittel Citronensäure, gemahlene SENFKÖRNER¹, Maiskeimöl¹, Stärke¹, Zwiebeln, MILCHZUCKER, Knoblauch¹², Frühlingszwiebeln¹², Pfeffer¹. Kann EI, SELLERIE, SOJA, GLUTENHALTIGE GETREIDE enthalten. ¹Natürliche Zutaten sind mit einem Sternchen gekennzeichnet. ²aus nachhaltigem Anbau. ³Salz der Essigsäure.",1806,432,46,"4,3","3,8",3,"0,6","1,3",0,1.59,https://www.edeka24.de/Lebensmittel/Wuerzmittel-Bruehen/Knorr-Salatkroenung-Fruehlingskraeuter-5ST.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/knorr_salatkrnung_frhlingskruter_5st_40g.jpg
Hipp Bio Hippis Pfirsich-Banane in Apfel mit Cookies ab 1 Jahr 100G,"Hipp GmbH & Co. Vertrieb KG, D-85273 Pfaffenhofen",Baby & Kleinkind,"Früchte* 94% (Äpfel* 42%, Apfelsaft* aus Apfelsaftkonzentrat, Bananen* 15%, Pfirsiche* 8%), Kekse* 6% (WEIZENMEHL*, SÜSSMOLKENPULVER*, BUTTER*, WEIZENSTÄRKE*), Antioxidationsmittel Ascorbinsäure. Hinweis: Kann Spuren von EIERN und SCHALENFRÜCHTEN enthalten. *Aus biologischer Erzeugung",315,75,"0,7","0,3","15,5","11,2","0,9","0,05",0,1.19,https://www.edeka24.de/Drogerie/Baby-Kleinkind/Hipp-Bio-Hippis-Pfirsich-Banane-in-Apfel-mit-Cookies-ab-1-Jahr-100G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/hipphippispfibanapfcoo.jpg
28 Black Açaí 24x250ML,"Calidris 28 Deutschland GmbH, Kuckucksweg 10, 14195 Berlin",Vorteilspack,"Wasser, Zucker, Isomaltulose*, Açaí-Extrakt, Guarana-Extrakt, Kohlensäure, Koffein, Vitaminmischung (Vitamin C, NIACIN, Pantothensäure, Vitamin B6 und Vitamin B12), Inosit, färbendes Konzentrat aus Karotte, natürliches Aroma, Säuerungsmittel (Citronensäure), Stabilisator (E414). * Isomaltulose ist eine Glukose- und Fruktosequelle",191,45,0,0,11,11,0,"0,02",0,38.54,https://www.edeka24.de/vorrat/28-Black-A-a-24x250ML.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/28-black-acai.jpg
